max_depth,minInstancesPerNode,avg_f1,bestModel
30.0,3.0,0.9905550616347669,0.0
30.0,5.0,0.9909102646893733,0.0
30.0,7.0,0.9911462809026211,0.0
25.0,3.0,0.9910252310024532,0.0
25.0,5.0,0.991203764313964,0.0
25.0,7.0,0.9913441041367015,1000.0
20.0,3.0,0.9884913515892905,0.0
20.0,5.0,0.9885541161957777,0.0
20.0,7.0,0.9885685938433733,0.0
15.0,3.0,0.9724980712005689,0.0
15.0,5.0,0.9725093255680243,0.0
15.0,7.0,0.9725088389173202,0.0
