,max_depth,minInstancesPerNode,training f1,testing f1,Best Model
0,10.0,2.0,0.9144850623495558,0.9148119429658252,0.0
1,10.0,3.0,0.9144854790885165,0.9148122804540553,0.0
2,10.0,4.0,0.9144851412457619,0.9148122804540553,0.0
3,10.0,5.0,0.9144859745745276,0.914813640161591,0.0
4,11.0,2.0,0.9413380294001549,0.9415037602451719,0.0
5,11.0,3.0,0.9413380343124661,0.9415045768942354,0.0
6,11.0,4.0,0.941337308058874,0.9415035358154147,0.0
7,11.0,5.0,0.9413382389429216,0.9415003412429213,0.0
8,12.0,2.0,0.9537069857766636,0.9538489735150728,0.0
9,12.0,3.0,0.9537064998258851,0.9538529651965246,0.0
10,12.0,4.0,0.9537024722056542,0.9538511085292742,0.0
11,12.0,5.0,0.9537039585727763,0.9538468691433604,0.0
12,13.0,2.0,0.9539347223338819,0.953860402275299,0.0
13,13.0,3.0,0.953933350766817,0.9538746190799157,0.0
14,13.0,4.0,0.9539269757372031,0.9538810451055204,0.0
15,13.0,5.0,0.9539297015913151,0.953878196105207,0.0
16,14.0,2.0,0.9623210530085723,0.9622948047907166,0.0
17,14.0,3.0,0.9623170319755125,0.9623020722298117,0.0
18,14.0,4.0,0.9623097137695512,0.962302799219926,0.0
19,14.0,5.0,0.9623106564016805,0.9623047762574339,0.0
20,15.0,2.0,0.9733079277216093,0.9732801515616152,0.0
21,15.0,3.0,0.9733024785871265,0.973275955480499,0.0
22,15.0,4.0,0.9733091838315201,0.9732859276838951,1000.0
23,15.0,5.0,0.9733076697563032,0.9732851434258344,0.0
