,max_depth,minInstancesPerNode,training f1,testing f1,Best Model
0,2.0,2.0,0.4154110937025997,0.41540771640605756,0.0
1,2.0,3.0,0.4154110937025997,0.41540771640605756,0.0
2,2.0,4.0,0.4154110937025997,0.41540771640605756,0.0
3,2.0,5.0,0.4154110937025997,0.41540771640605756,0.0
4,2.0,6.0,0.4154110937025997,0.41540771640605756,0.0
5,3.0,2.0,0.524014935692054,0.5238857805677006,0.0
6,3.0,3.0,0.524014935692054,0.5238857805677006,0.0
7,3.0,4.0,0.524014935692054,0.5238857805677006,0.0
8,3.0,5.0,0.524014935692054,0.5238857805677006,0.0
9,3.0,6.0,0.524014935692054,0.5238857805677006,0.0
10,4.0,2.0,0.5806103063504913,0.5804403869171282,0.0
11,4.0,3.0,0.5806103063504913,0.5804403869171282,0.0
12,4.0,4.0,0.5806103063504913,0.5804403869171282,0.0
13,4.0,5.0,0.5806103063504913,0.5804403869171282,0.0
14,4.0,6.0,0.5806103063504913,0.5804403869171282,0.0
15,5.0,2.0,0.7138053766329214,0.7137274504545819,0.0
16,5.0,3.0,0.7138053766329214,0.7137274504545819,0.0
17,5.0,4.0,0.7138053766329214,0.7137274504545819,0.0
18,5.0,5.0,0.7138053766329214,0.7137274504545819,0.0
19,5.0,6.0,0.7138053766329214,0.7137274504545819,0.0
20,6.0,2.0,0.7788863334261797,0.7782958504842731,0.0
21,6.0,3.0,0.7788863334261797,0.7782958504842731,0.0
22,6.0,4.0,0.7788863334261797,0.7782958504842731,0.0
23,6.0,5.0,0.7788863334261797,0.7782958504842731,0.0
24,6.0,6.0,0.7788863334261797,0.7782958504842731,0.0
25,7.0,2.0,0.8286472918446418,0.8286541291293452,0.0
26,7.0,3.0,0.8286472918446418,0.8286541291293452,0.0
27,7.0,4.0,0.8286472918446418,0.8286541291293452,0.0
28,7.0,5.0,0.8286472918446418,0.8286541291293452,0.0
29,7.0,6.0,0.8286472918446418,0.8286541291293452,0.0
30,8.0,2.0,0.8788426510861261,0.8791339341279136,0.0
31,8.0,3.0,0.8788426510861261,0.8791339341279136,0.0
32,8.0,4.0,0.8788426510861261,0.8791339341279136,0.0
33,8.0,5.0,0.8788426510861261,0.8791339341279136,0.0
34,8.0,6.0,0.8788428270286069,0.8791339341279136,0.0
35,9.0,2.0,0.8858805705054542,0.8861561189829765,0.0
36,9.0,3.0,0.8858807428779438,0.886155630727316,0.0
37,9.0,4.0,0.8858807428779438,0.886155630727316,0.0
38,9.0,5.0,0.8858807428779438,0.886155630727316,0.0
39,9.0,6.0,0.8858807920264176,0.886155630727316,0.0
40,10.0,2.0,0.9144850623495558,0.9148119429658252,0.0
41,10.0,3.0,0.9144854790885165,0.9148122804540553,0.0
42,10.0,4.0,0.9144851412457619,0.9148122804540553,0.0
43,10.0,5.0,0.9144859745745276,0.914813640161591,0.0
44,10.0,6.0,0.9144849611597913,0.9148141514871637,0.0
45,11.0,2.0,0.9413380294001549,0.9415037602451719,0.0
46,11.0,3.0,0.9413380343124661,0.9415045768942354,1000.0
47,11.0,4.0,0.941337308058874,0.9415035358154147,0.0
48,11.0,5.0,0.9413382389429216,0.9415003412429213,0.0
49,11.0,6.0,0.94133446960054,0.9415023429545705,0.0
